W1,W2,W3,F
economy,dragged,us,6
destroyed,economy,dragged,6
crimes/hatred,destroyed,economy,6
scams/,crimes/hatred,destroyed,6
crore,tax,notice,6
adjourned,till,noon,6
legitimised,scams/,crimes/hatred,6
chief,niranjan,patnaik,6
new,year,new,6
winner,takes,political,6
fire,legitimised,scams/,6
political,plunge,joins,6
joint,select,committee,6
hai,ka,naam,6
gandhi,hai,ka,6
sent,joint,select,6
christian,michel,conform,6
political,parties,registered,6
parties,registered,must,6
says,congress,president,6
congress,political,party,6
parsi/muslim,father,catholic,6
smt,sonia,gandhi,6
corrupt,polluted,smelling,6
present,house,today,6
mps,present,house,6
salary,perks,many,6
assured,salary,perks,6
upa,chairperson,smt,6
chairperson,smt,sonia,6
split,rlsp,meeting,6
party,assured,salary,6
political,party,assured,6
rlsp,meeting,congress,6
ji,ji,ji,6
worth,rs,lakh,6
congress’,sachin,pilot,6
meeting,congress,leader,6
different,campaigns,woo,6
madhya,pradesh,seat,6
father,catholic,christian,6
yrs,undo,damage,6
india,congress,era,6
congress’,youth,wing,6
stinking,india,congress,6
charge,general,secretary,6
smelling,stinking,india,6
congress,leader,sparked,6
launches,two,different,6
two,different,campaigns,6
rs,crore,tax,6
nothing,shameful,defeat,5
leader,sparked,speculation,5
pradesh,east,nothing,5
east,nothing,shameful,5
aicc,uttar,pradesh,5
ak,antony,revealed,5
opposition,parties,including,5
hints,may,fight,5
dedicated,welfare,islands,5
works,exclusively,nonhindus,5
era,works,exclusively,5
sonia,era,works,5
funding,sonia,era,5
govts,funding,sonia,5
led,govts,funding,5
dirty,polluted,smelling,5
party,said,contest,5
exclusively,nonhindus,rs,5
said,contest,seats,5
welfare,islands,jai,5
planes,towards,fm,5
paper,planes,towards,5
threw,paper,planes,5
mps,threw,paper,5
islands,jai,congress,5
hai,modi,vision,5
missing,dirty,polluted,5
may,fight,solo,5
apprehensions,president,predictions,5
fight,solo,says,5
solo,says,dont,5
says,dont,underestimate,5
dont,underestimate,us,5
smelling,stinking,indian,5
predictions,unlikely,next,5
president,predictions,unlikely,5
despite,apprehensions,president,5
defeat,ensuing,lok,5
narendra,modi,rahul,5
forged,alliance,party,5
alliance,party,said,5
division,kejriwal,televisions,5
rahul,division,kejriwal,5
vision,rahul,division,5
modi,vision,rahul,5
shameful,defeat,ensuing,5
issue,motion,moved,5
ensuing,lok,polls,5
former,chief,minister,5
request,sent,joint,5
das,resigns,primary,5
resigns,primary,congress,5
primary,congress,post,5
congress,post,working,5
post,working,president,5
working,president,says,5
two,days,screenshot,5
last,two,days,5
prime,minister,shri,5
ahead,lok,elections,5
ram,ji,please,5
lok,polls,thank,5
interaction,programme,dr,5
gandhi,vadra,appointed,5
given,adjournment,motion,5
mps,protest,near,5
protest,near,gandhi,5
near,gandhi,statue,5
enters,politics,appointed,5
rahul,gandhi,says,5
grand,comes,power,5
efforts,grand,comes,5
sincere,efforts,grand,5
matter,request,sent,5
constitutional,matter,request,5
also,constitutional,matter,5
cong,indentify,seats,5
gandhi,ji,hard,5
fly,paper,planes,5
election,coverage,live,5
watch,election,coverage,5
study,also,constitutional,5
seat,ends,instructing,5
railways,congress,era,5
president,make,mistakes,5
make,mistakes,yes,5
mistakes,yes,current,5
yes,current,president,5
current,president,mr,5
president,price,part,5
priyanka,gandhi,appointed,5
price,part,secrecy,5
part,secrecy,pact,5
secrecy,pact,question,5
things,two,time,5
see,things,two,5
meet,seat,ends,5
allies,meet,seat,5
seats,allies,meet,5
indentify,seats,allies,5
launch,sincere,efforts,5
party,launch,sincere,5
said,party,launch,5
general,secretaries,state,5
govt,gave,waivers,5
party,general,secretary,5
two,seats,left,5
manmohan,singh,lok,5
singh,lok,candidate,5
pass,womens,reservation,5
whats,going,happen,5
picked,idea,non,5
idea,non,violence,5
rafale,deal,lok,5
congress,leader,kamal,5
leader,kamal,nath,5
money,question,money,5
though,money,question,5
coverage,day,ndtv,5
even,though,money,5
money,even,though,5
special,coverage,day,5
revealed,money,even,5
election,coverage,ndtv,5
telangana,catch,action,5
antony,revealed,money,5
polls,thank,ji,5
given,contracts,worth,5
partys,general,secretaries,5
secretary,harish,rawat,5
stinking,indian,railways,5
general,secretary,harish,5
workers,across,country,5
congress,clear,majority,5
electionrelated,news,follow,5
inclusive,development,islands,5
pillar,process,second,5
first,pillar,process,5
team,inclusive,development,5
congress,team,inclusive,5
question,money,disappear,5
indian,railways,congress,5
congress,leader,ndtv,5
speak,says,congress,5
actions,speak,says,5
lok,elections,says,5
chief,minister,announces,5
minister,announces,congress,5
announces,congress,twitter,5
president,participate,discussion,5
congress,twitter,read,5
twitter,read,track,5
moves,privilege,motion,5
rahul,gandhi,rafale,5
gandhi,statue,inside,5
president,mr,macron,5
shri,narendra,modi,5
chhattisgarh,chief,minister,5
special,category,status,5
detailed,election,results,5
ahead,congress,president,5
shri,ji,shri,5
contest,seats,tamil,5
christian,mother,hindu,5
alliance,polls,sealed,5
polls,sealed,chennai,5
live,updates,follow,5
congress,leaders,meet,5
sealed,chennai,today,5
formally,enters,politics,5
uproar,tries,play,5
dmk,president,mk,5
ignore,laugh,fight,5
chennai,today,seats,5
today,seats,congress,5
president,mk,stalin,5
tries,play,audio,5
madhya,pradesh,governor,5
national,herald,case,5
congressdmk,alliance,polls,5
induction,aicc,uttar,5
like,thank,congress,5
hindu,janeudhari,son,5
madhya,pradesh,chhattisgarh,5
mother,hindu,janeudhari,5
ysr,congress,party,5
election,results,analysis,5
outside,congress,office,5
contest,upcoming,election,5
congress,party,going,5
alliance,lok,polls,5
party,contest,upcoming,5
general,secretary,organisation,5
alleged,audio,tape,5
secretaries,state,incharges,4
madhya,pradesh,sources,4
azadi,fear,azadi,4
meeting,partys,general,4
poll,triumph,rahul,4
azadi,lies,azadi,4
congress’,ashok,gehlot,4
fear,azadi,jumlas,4
azadi,jumlas,azadi,4
mayawati,madhya,pradesh,4
hours,poll,triumph,4
general,secretary,reckon,4
must,focus,runup,4
attack,congress,rafale,4
rs,per,day,4
reckon,contest,amethi,4
gandhi,joining,congress,4
unemployment,azadi,lies,4
secretary,reckon,contest,4
jumlas,azadi,unemployment,4
azadi,unemployment,azadi,4
joining,congress,general,4
party,general,secretaries,4
dials,mayawati,madhya,4
nation,inflation,less,4
july,never,withdrew,4
govt,july,never,4
rajasthan,madhya,pradesh,4
congress’,aggressive,raga,4
sardarpura,track,live,4
inflation,less,need,4
aggressive,raga,corner,4
minister,rahul,gandhi,4
raga,corner,modi,4
gave,waivers,hal,4
corner,modi,regime,4
want,see,next,4
see,next,instead,4
next,instead,aspirants,4
gandhi,calls,anil,4
ruled,says,caste,4
congress,dials,mayawati,4
ceremony,newly,elected,4
congress,attack,someone,4
like,rahul,gandhi,4
congress,a.d,dynasty,4
contest,uttar,pradesh,4
another,rahul,gandhi,4
rahul,gandhi,time,4
leads,waver,congress,4
ha,ha,ha,4
allies,ahead,congress,4
ani,track,updates,4
master,heres,truth,4
former,tn,congress,4
anil,master,heres,4
calls,anil,master,4
waver,congress,dials,4
appointed,party,general,4
congress,leader,mallikarjun,4
given,notice,rule,4
governor,patel,stake,4
congress,another,independe…,4
gandhi,pm,candidate,4
vote,congress,another,4
se,vote,congress,4
walon,se,vote,4
failane,walon,se,4
nafrat,failane,walon,4
aur,nafrat,failane,4
jhoothi,aur,nafrat,4
azadi,jhoothi,aur,4
rahenge,azadi,jhoothi,4
party,congress,ruling,4
congress,ruling,corruption,4
ruling,corruption,unemployment,4
attack,someone,yet,4
always,keep,people,4
leader,mallikarjun,kharge,4
someone,yet,also,4
rahul,gandhi,narendra,4
gandhi,narendra,modi,4
india’s,prime,minister,4
crores,legal,fees,4
pocket,crores,legal,4
narendra,modi,must,4
modi,must,focus,4
united,states,america,4
also,pocket,crores,4
pilot,ashok,gehlot,4
yet,also,pocket,4
sachin,pilot,ashok,4
congress,president,said,4
nomination,upa,chairperson,4
puja,nomination,upa,4
corruption,unemployment,country,4
unemployment,country,growing,4
leke,rahenge,azadi,4
rahul,gandhi,family,4
wing,iyc,launches,4
youth,wing,iyc,4
total,women,u.s,4
eat,pray,love,4
congress,vote,you.*,4
vote,you.*,watch,4
you.*,watch,share,4
spokesperson,jaiveer,shergill,4
azadi,eat,pray,4
speech,looks,like,4
enters,active,politics,4
lies,azadi,eat,4
sell,case,study,4
michel,conform,knows,4
voting,dictatorship,says,4
iyc,launches,two,4
party,office,raipur,4
tamil,nadu,puducherry,4
pm,dr,manmohan,4
minister,madhya,pradesh,4
chief,minister,madhya,4
lok,candidate,amritsar,4
hum,leke,rahenge,4
vote,one,reason,4
congress,vote,follow,4
former,pm,dr,4
das,modi,ji,4
field,former,pm,4
keen,field,former,4
congress,keen,field,4
shri,narendra,damodar,4
narendra,damodar,das,4
damodar,das,modi,4
congress,spokesperson,said,4
crores,rs,crores,4
gandhi,visit,gujarat,4
congress,president,mr,4
look,heat,map,4
trinamool,mps,protest,4
government,trinamool,mps,4
party,pledge,onetime,4
natural,dislike,truth,4
time,congress,party,4
congress,party,pledge,4
contest,nine,seats,4
morning,true,india,4
upcoming,lok,elections,4
seats,congress,wherein,4
congress,wherein,congress,4
mp,ranjeet,ranjan,4
maa,chor,hai,4
leads,state,track,4
tonk,track,live,4
priyanka,gandhi,drops,4
ed,office,questioning,4
gandhi,family,looted,4
congress,important,needs,4
noncongress,govt,never,4
independence,noncongress,govt,4
since,independence,noncongress,4
family,looted,nation,4
warns,people,voting,4
pledge,onetime,farm,4
office,questioning,assuming,4
distress,graft,issues,4
two,time,periods,4
new,ppl,worse,4
ppl,worse,even,4
assuming,charge,general,4
questioning,assuming,charge,4
congress,mp,ranjeet,4
gandhi,led,congress,4
congress,nothing,happened,4
pm,modi,rafale,4
adjournment,motion,notice,4
moved,adjournment,motion,4
congress,alliance,sealed,4
wohe,skinder,congratulations,4
rajasthan,deputy,chief,4
coverage,last,two,4
congress,contest,alone,4
indian,prime,minister,4
media,coverage,last,4
diamond,leader,sara,4
leader,sara,modi,4
sara,modi,koon,4
modi,koon,jeeta,4
koon,jeeta,wohe,4
jeeta,wohe,skinder,4
accidental,prime,minister,4
contest,lok,election,4
uttar,pradesh,upcoming,4
north,east,congress,4
president,mr,address,4
akhilesh,yadav,mayawati,4
congress,akhilesh,yadav,4
mr,address,rally,4
address,rally,march,4
east,congress,coordination,4
chairman,north,east,4
good,morning,true,4
meghalaya,chairman,north,4
cm,meghalaya,chairman,4
former,cm,meghalaya,4
rally,march,meeting,4
sp,finalise,seat,4
march,meeting,mark,4
farm,distress,graft,4
onetime,farm,loan,4
upa,govt,agustawestland,4
govt,agustawestland,reality,4
appointed,aicc,gen,4
aicc,gen,secy,4
future,country,vote,4
chief,minister,rajasthan,4
modi,regime,farm,4
says,caste,first,4
